Timestamp,Dengan Apa Anda Pergi ke Unila,Bensin,Alat,Pengeluaran
08/11/2023 13:30:47,Menggunakan Kendaraan Sendiri,45000,,
08/11/2023 13:30:51,Menggunakan Kendaraan Sendiri,35000,,
08/11/2023 13:31:12,Menggunakan Kendaraan Sendiri,50000,,
08/11/2023 13:31:29,Menggunakan Kendaraan Sendiri,55000,,
08/11/2023 13:31:44,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,50000
08/11/2023 13:32:01,Menggunakan Kendaraan Sendiri,30000,,
08/11/2023 13:32:02,Menggunakan Kendaraan Sendiri,60000,,
08/11/2023 13:32:47,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,50000
08/11/2023 13:33:33,Menggunakan Kendaraan Sendiri,30000,,
08/11/2023 13:33:37,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Angkot,145000
08/11/2023 13:34:24,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,75000
08/11/2023 13:34:25,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,60000
08/11/2023 13:35:30,Menggunakan Kendaraan Sendiri,20000,,
08/11/2023 13:36:20,Menggunakan Kendaraan Sendiri,85000,,
08/11/2023 13:43:06,Menggunakan Kendaraan Sendiri,30000,,
08/11/2023 13:43:56,Menggunakan Kendaraan Sendiri,40000,,
08/11/2023 13:50:52,Menggunakan Kendaraan Sendiri,120000,,
08/11/2023 13:51:07,Menggunakan Kendaraan Sendiri,40000,,
08/11/2023 13:52:15,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,100000
08/11/2023 14:01:49,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,120000
08/11/2023 14:26:21,Menggunakan Kendaraan Sendiri,55000,,
08/11/2023 14:41:19,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,140000
08/11/2023 17:07:54,Menggunakan Kendaraan Sendiri,50000,,
08/11/2023 17:23:30,Menggunakan Kendaraan Sendiri,120000,,
08/11/2023 19:17:16,Menggunakan Kendaraan Sendiri,45000,,
08/11/2023 19:19:21,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,50000
08/11/2023 19:23:34,Menggunakan Kendaraan Sendiri,35000,,
08/11/2023 19:30:57,Menggunakan Kendaraan Sendiri,25000,,
08/11/2023 22:41:28,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,90000
10/11/2023 10:31:13,Menggunakan Kendaraan Sendiri,60000,,
10/11/2023 10:33:53,Menggunakan Kendaraan Sendiri,35000,,
10/11/2023 17:18:03,Menggunakan Kendaraan Sendiri,20000,,
10/11/2023 17:53:43,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,60000
11/11/2023 10:07:20,Menggunakan Kendaraan Sendiri,40000,,
29/11/2023 13:58:57,Tidak Menggunakan Kendaraan Sendiri,,Diantar,
29/11/2023 14:07:28,Menggunakan Kendaraan Sendiri,80000,,
29/11/2023 14:12:45,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,125000
29/11/2023 14:18:04,Menggunakan Kendaraan Sendiri,120000,,
29/11/2023 14:20:10,Menggunakan Kendaraan Sendiri,120000,,
29/11/2023 14:25:25,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,100000
29/11/2023 14:40:27,Menggunakan Kendaraan Sendiri,120000,,
29/11/2023 14:50:11,Tidak Menggunakan Kendaraan Sendiri, ,Menggunakan Ojek Online,100000
29/11/2023 14:49:51,Tidak Menggunakan Kendaraan Sendiri, ,Menggunakan Ojek Online,95000
29/11/2023 14:50:39,Menggunakan Kendaraan Sendiri,90000,,
30/11/2023 0:04:39,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,140000
30/11/2023 0:05:06,Menggunakan Kendaraan Sendiri,30000,,
30/11/2023 0:06:21,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,15000
30/11/2023 0:08:06,Tidak Menggunakan Kendaraan Sendiri,,Diantar,
30/11/2023 0:08:52,Menggunakan Kendaraan Sendiri,50000,,
30/11/2023 0:09:09,Menggunakan Kendaraan Sendiri,50000,,
30/11/2023 0:10:37,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,20000
30/11/2023 0:13:40,Menggunakan Kendaraan Sendiri,30000,,
30/11/2023 1:01:59,Menggunakan Kendaraan Sendiri,60000,,
30/11/2023 5:18:31,Menggunakan Kendaraan Sendiri,80000,,
30/11/2023 6:26:39,Menggunakan Kendaraan Sendiri,25000,,
30/11/2023 6:55:39,Menggunakan Kendaraan Sendiri,100000,,
30/11/2023 7:10:41,Menggunakan Kendaraan Sendiri,100000,,
30/11/2023 7:24:54,Menggunakan Kendaraan Sendiri,60000,,
30/11/2023 7:40:30,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,30000
30/11/2023 9:04:26,Tidak Menggunakan Kendaraan Sendiri,,Menggunakan Ojek Online,8000
